C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
KD,JC,JD,5C,5D,QH,4S,6D,QC,4C,Zach,No,0
9H,5C,7H,7S,4S,JC,7C,TH,TC,4C,Mike,No,4
AH,9C,4D,7H,8H,KH,8C,KC,JH,6D,John P,7H,6
7C,KC,TH,8H,7H,9H,9C,5D,4S,7S,Dani,Nl,0
TD,JC,AH,JJ,JS,8H,QC,4D,5S,QS,Zach,7C,10
5S,TS,9D,8D,7D,JD,QC,TD,5C,5D,Mike,No,1
4C,JD,JC,4S,QC,TH,6C,TS,JH,KH,Mike,7H,7
JJ,9C,6H,8S,TD,4D,AS,QH,5D,JH,John P,8H,8
KC,9H,AS,KD,JJ,KH,TH,5S,7D,8D,jrb,7N,6
7D,9D,JC,AS,4S,4H,7H,TH,4D,9S,jrb,Nl,3
5C,JH,8C,5D,5H,7C,AD,5S,7H,4C,jrb,Nl,0
JH,7S,7D,4S,9D,AH,JJ,TS,8H,JC,Mike,7H,6
KD,KS,TD,4H,QD,QS,9S,AC,TS,5C,Mike,7N,6
JJ,6S,5C,5D,QD,AS,5H,9H,9D,7D,John P,No,0
4H,8S,5C,KH,7C,6S,6H,5H,6D,AC,John P,No,2
4S,5D,QD,6H,KH,JD,TD,7D,5C,6D,jrb,7D,8
KS,QH,AC,QD,9D,7H,KD,JJ,6S,4C,Mike,7N,9
9C,6S,4S,JH,7H,QC,JS,4D,9H,7C,Zach,Nd,0
9C,6S,8D,4S,9D,QH,KS,JS,TS,4D,Mike,No,0
8D,JC,QH,TH,KH,TD,9H,5S,AD,JJ,Zach,7N,10
6H,JS,TH,5S,8S,9H,4H,4S,8D,QS,jrb,Nd,2
9H,KH,6H,JH,AS,9S,TH,4H,7H,5D,jrb,8H,8
AD,QD,8D,KS,8C,AC,JJ,JS,KC,9H,Mike,8C,10
5D,8S,KS,4D,6S,JS,8H,KH,4H,QH,John P,Nd,0
5D,AD,5C,TH,5H,6C,QH,JH,TS,JJ,jrb,8H,10
AC,8C,AH,KH,QD,JH,5D,AS,JD,KC,John P,7H,10
9C,JJ,4C,AC,KC,5H,TS,6D,6C,5S,Mike,7N,9
JD,9D,8D,KS,KD,4D,9C,6S,9S,QH,jrb,7D,8
AS,JJ,AH,KS,9S,JH,6D,9H,QD,QS,Zach,8N,10
JS,4H,4S,7S,QS,JJ,4C,8C,6S,5D,John P,No,0
7S,KH,TC,8D,9C,4C,JH,TD,AS,9H,Mike,Nd,0
7C,AS,QS,AH,AC,JD,TC,7S,KS,TD,John P,7N,7
5S,9S,KD,5H,7S,8S,JC,7H,9C,4C,Zach,No,0
QH,JD,5S,8C,9H,JH,KD,5H,AH,8H,Mike,8H,10
JS,6C,4D,AD,6D,JJ,8S,7D,9S,QC,Zach,7C,10
JJ,6H,4H,5C,JS,QS,JD,7D,JC,QH,Mike,8S,8
8S,6C,AC,JC,KH,QC,5C,AS,9H,9S,jrb,8C,9
4H,AS,6C,JH,KH,9D,TS,TD,KC,JS,Zach,8N,7
JS,KD,QH,4C,8H,7D,KH,5H,6H,4D,Mike,No,0
JS,4D,8C,5D,KC,JH,QD,7C,9D,AS,jrb,7D,8
8D,KD,7H,TS,KH,AS,8C,6C,QC,AD,Becky,7D,6
6S,KS,4S,QH,KH,7H,4H,JS,9H,QC,jrb,Nd,2
AD,7S,KD,6S,JC,5H,7C,JJ,QD,KC,jrb,8S,10
JJ,5S,QC,4C,5H,TH,KS,KH,8C,JS,jrb,7C,9
AC,8C,JD,9S,5S,QD,7S,TD,6D,QS,Becky,Nd,5
TD,KD,QS,4D,9S,6D,7D,8D,KH,6S,Becky,8D,8
6S,7S,4C,8D,AS,KD,8S,JS,8C,7C,John P,8S,10
JC,TH,7C,KH,AC,6H,AD,5S,8S,JS,John P,9C,9
KS,JC,QD,QH,TD,5D,KD,AC,JD,6C,John P,8D,8
4H,KS,JD,7D,5C,9D,JS,KC,JC,9C,Mike,7C,9
TC,7C,5H,9C,AD,9H,6H,KH,4D,6D,John P,No,5
AC,AH,QD,AD,JD,5D,4C,9H,6S,7H,John P,7D,7
8S,QH,9H,6S,TC,JC,8D,KD,8H,JJ,jrb,8C,9
4H,9C,8D,QC,KH,KC,5D,QS,JJ,6D,jrb,7H,4
AC,6S,9H,JH,6C,JJ,TH,TC,QH,5D,John P,8H,10
JS,5S,TH,JD,KS,TC,JH,AC,QH,KC,John P,7H,8
8D,6C,7S,JH,JS,JD,TH,AD,AH,6H,John P,7H,8
4D,KC,9S,7S,KH,5D,6C,4S,6H,AS,John P,No,0
QH,JJ,6H,5C,AH,TH,5D,JC,JD,6C,John P,7H,10
QD,JJ,8C,QC,JH,9S,4S,8H,9D,JD,Chris,8D,7
6S,QH,AS,4H,9D,8C,4D,TS,4C,JC,Mike,Nl,0
4C,AC,9C,JJ,KS,QD,7H,8S,8C,4H,jrb,Nd,5
8S,QC,QH,9C,TC,JD,8C,AS,6H,KH,jrb,7N,7
4C,AS,9D,8H,TH,JD,5C,AD,5D,5S,Chris,Nl,2
9S,JJ,6C,5D,AH,5H,KS,QS,8S,5S,Chris,7N,7
8H,JJ,5S,TC,6H,AH,JH,QD,QH,AS,jrb,8H,6
TD,AS,TH,JD,7S,QS,AC,4D,JJ,AH,John P,7D,8
8D,4C,QC,4D,6S,JD,8S,QH,AC,9D,Chris,7D,3
7C,9D,JD,QS,AS,5C,KC,6H,8H,6S,jrb,6H,4
TC,AC,AS,9C,4D,JJ,KC,TH,TS,6D,Chris,7N,9
QH,4D,JC,JD,QD,6C,4S,QC,AS,5S,jrb,7C,8
5H,JH,4D,6S,9H,8H,KS,QC,JD,7C,Mike,7H,7
KC,AC,QD,6C,TH,KS,JJ,TC,QC,5H,jrb,7N,10
QH,JS,AS,QS,TC,TH,7C,4D,7S,6H,jrb,8S,9
4S,JH,TC,TS,JD,6C,QD,KS,6D,4H,Mike,7D,9
6S,JD,8S,QH,6C,7S,4C,5H,JC,5C,jrb,No,1
6S,KC,4H,JD,JJ,9D,JC,8S,5H,4C,jrb,7C,8
AC,KS,7H,8C,6S,7C,5H,AD,QS,4S,John P,8S,7
JD,5S,TC,6D,7C,JS,KD,QC,JJ,JH,John P,8D,8
7C,JH,TC,4S,4D,AC,KS,KD,QC,JD,jrb,7D,9
6C,AC,8D,6S,AS,QH,4S,QC,6D,KC,Zach,7N,9
4D,9C,AD,QD,JH,7C,9H,QH,5H,7S,jrb,6H,7
6H,7H,7S,9D,KH,QH,JJ,8D,QS,4H,jrb,7N,9
KC,TD,QH,6D,7D,QD,6H,KD,6S,KH,Dani,7D,5
6C,4D,8D,TD,8H,6H,QS,5S,QC,AS,Dani,Nd,0
QC,7H,9C,7S,6S,5D,QD,JJ,5C,4H,jrb,7N,5
9S,KC,9D,AH,TH,6C,JD,5S,QH,QD,Zach,8H,6
4H,8S,TD,QS,8H,4C,JJ,7S,7D,AH,Zach,7H,7
9D,7C,8C,KH,5C,5H,6S,6C,TD,9C,John P,No,0
8S,JH,KH,JJ,9H,6D,QH,7C,AH,8D,Becky,7H,9
4C,AS,4H,4D,6S,QC,KD,5S,JS,5D,Becky,Nd,2
4S,JS,6D,JD,7C,AC,8C,6H,JJ,KD,Mike,7C,9
4S,AS,5C,8H,6D,KD,JS,4D,8D,5H,Mike,No,1
6S,9C,8S,4D,5H,4C,AD,AS,9H,5S,JRB,No,1
JS,JD,4D,7C,4C,5S,5H,QC,6C,8C,John P,No,1
7D,AS,JS,8C,TD,6S,JJ,4C,JC,TS,John P,8S,9
8S,5H,JH,TS,JS,7H,AD,9H,8C,KD,JRB,7H,9
JH,KS,KH,TS,5C,5H,7C,QH,8C,8H,John P,Nl,0
8S,JC,TC,6C,4D,AS,7S,JH,6D,TH,JRB,7C,9
TD,QH,KH,4H,TC,JD,KS,4S,4C,JH,Becky,7H,8
7C,QC,JH,5C,KH,AD,8D,TH,4C,JJ,JRB,8H,8
TD,KC,8S,5S,KS,6S,8H,KH,6D,9S,Mike,No,1
6S,AH,6D,5C,JD,9C,AD,JJ,QS,5S,Zach,7D,8
8C,7D,5S,QC,JH,9D,8S,JS,5D,4D,Mike,Nl,0
5S,TD,5C,7S,8H,9D,9C,4C,6H,8C,jrb,No,0
7S,TH,8C,JC,JS,6D,KS,QH,6S,5D,Mike,Nd,4
7C,JJ,JS,9H,JD,KC,AD,6D,5C,TS,Mike,8D,9
4H,6H,KS,9H,8C,7H,JS,KH,4D,JH,Zach,Nd,1
TD,7H,7C,TC,5S,JC,KC,8C,JJ,9S,Zach,8C,9
JJ,4D,6H,6C,AD,JH,9C,QH,KS,4C,jrb,7C,8
6D,JD,JS,5D,JC,JJ,7H,6C,9C,TS,Mike,8C,9
JD,4S,9S,5S,4D,KS,6D,7S,TH,5H,Mike,No,0
QS,4C,QC,TC,8C,TD,AH,JS,TS,JC,John P,8C,7
4H,KD,6H,AD,5D,KC,6D,KH,QD,7D,Zach,8N,8
7D,AS,JD,6S,4H,5C,4D,TS,6C,9D,John P,No,0
7H,4H,JD,4C,7S,TH,8D,9C,7C,4S,Mike,Nd,0
8D,7H,8S,AC,5H,8H,9D,5C,JD,TC,John P,No,2
TH,QD,8S,9D,5C,QS,4H,4C,JH,AS,John P,Nd,0
4H,JC,JJ,JH,TC,8S,4S,TS,9H,AS,Zach,7S,8
6D,QS,4H,AC,AS,8H,JC,5C,TC,KC,John P,8N,7
8D,JJ,6D,TH,TD,KC,7D,AH,QS,8H,jrb,Nd,2
5C,4H,QC,8D,8S,6S,KS,TC,4S,6C,Mike,No,0
JJ,JC,QH,6D,AD,8C,4S,QD,7C,7D,Mike,7D,6
KH,8C,7H,JS,4C,QD,9H,4D,9S,7D,jrb,7S,5
KS,AC,7D,JC,9H,QS,JJ,6D,TC,5C,Mike,8C,9
8H,AH,JD,5S,JS,KD,9H,4C,JC,JJ,Mike,7C,9
8S,AC,TS,TC,7C,JS,AS,5D,JC,6C,Mike,8C,10
KC,6D,4H,5D,6C,5H,JC,QS,TH,KS,Zach,Nl,0
8D,TC,JC,9S,6H,4S,4H,JJ,6D,5S,Zach,Nl,0
5C,4H,6S,9H,QS,5H,TC,6C,5S,6D,John P,No,0
TD,QD,5H,QH,JJ,4H,QC,JC,8H,AH,Zach,7H,6
QH,5H,4D,6H,AD,TD,QD,8D,5C,7D,Zach,No,1
JJ,TD,4H,TH,7S,9H,KC,6S,8H,AH,jrb,8H,6
QC,KC,TS,AC,JH,8D,6S,9C,5H,JS,Zach,7C,8
KS,4H,TH,TC,6H,9C,9H,JH,AS,5C,jrb,8C,8
7S,8H,TC,KH,8C,4C,TS,AS,8D,KD,Zach,8S,2
TC,8H,9H,AD,AH,JH,TS,JC,4S,QD,Mike,7H,9
6C,8H,KD,6D,6H,AS,9S,5H,AC,AH,Mike,7N,8
4D,9C,KD,JS,AD,QD,7S,AC,JH,7D,John P,7D,9
AD,8H,6H,JH,4S,7S,4C,KD,5H,8C,John P,Nd,1
JC,AD,JH,AH,8D,5S,9D,4C,7D,JD,John P,7D,8
QD,7C,4S,TH,AC,9C,TC,5C,5S,4H,Mike,No,1
5C,AH,7C,4C,TH,4S,KH,7D,JC,QD,John P,Nl,1
4S,8S,8H,6D,5S,AS,5D,9H,9S,9D,jrb,No,0
AS,JJ,5D,KD,JC,9S,KC,9C,JD,6C,Mike,8C,8
AD,9H,KD,JJ,TS,6D,4C,6C,4S,8C,Mike,7N,8
7C,KC,JS,6C,4S,JH,JC,5S,4H,TC,jrb,8C,8
6D,8D,5C,QS,5H,JD,AD,9S,6H,AS,Mike,8D,9
JD,7H,7S,QD,7C,5D,TS,5H,9D,KH,jrb,7H,9
9C,7H,5S,KS,5H,4D,6C,8D,8H,TC,Mike,No,0
4C,8S,9S,QH,6H,QD,AH,4H,5S,5H,Zach,No,0
7D,AH,4S,QD,5C,TH,8D,4C,6C,5D,Mike,Nd,0
AD,KD,4D,9D,TH,8D,JC,AC,6D,TD,Mike,No,7
9S,JD,JC,8D,JJ,5H,AS,QD,AC,7C,Mike,8C,9
5S,4C,QC,9S,5C,JD,6C,TC,TH,JJ,John P,Nd,5
AS,8S,AH,QS,6C,JH,QD,JS,AC,KH,Zach,7H,10
JH,4S,KH,JJ,JD,4C,AS,QC,6S,TH,Mike,8H,10
6D,TH,4D,5C,7C,QH,8S,9D,AH,JD,Mike,8D,9
9H,JH,QH,4H,5H,4C,7H,5C,7C,9C,Mike,No,0
KD,9S,TC,7C,JC,AS,8D,4H,JH,AC,John P,7H,7
4C,6H,QS,AC,TH,8S,7S,8D,6S,JH,John P,8H,7
JS,JH,TD,KS,JC,AC,7H,QH,9S,TS,John P,8S,8
7S,7C,JC,4S,5D,JS,QS,9S,9H,AH,jrb,8S,9
QC,AC,JC,5S,4S,TH,JJ,6S,9D,KH,Mike,9C,8
5C,AH,7S,KC,6S,AC,5S,9H,JH,TH,jrb,8H,8
TD,8H,QD,AS,AD,JS,KD,8D,7H,4S,Zach,8N,10
6D,AC,7C,AH,TD,QC,JJ,8D,JD,KS,Mike,8N,9
QD,QH,TS,QC,JC,8C,AD,TD,JS,AS,Mike,8S,8
AC,JC,4C,QH,KC,8C,TC,6S,TS,JH,John P,8C,4
9D,4D,6S,7D,5D,5C,6C,9S,JH,JS,Zach,8D,7
KH,7H,JC,4D,9D,QD,TC,AD,5H,JD,Mike,7D,7
QH,QC,JH,9S,TD,7D,AH,8H,8S,KH,Zach,7N,4
6H,9S,7C,5H,KC,TS,8S,6D,5C,9D,Mike,Nd,2
7D,JC,QS,4H,8C,KD,4C,5C,8H,JJ,Mike,7N,10
9H,AS,QH,TS,7S,9C,9D,AD,JS,KH,Zach,7H,10
4D,JJ,4C,5C,8D,4S,AD,5H,8S,QS,John P,Nd,0
7S,5S,7C,4D,AS,5C,8C,5H,6D,7D,jrb,No,0
4C,TS,6S,TC,4D,6C,JS,9C,5D,QC,Zach,No,1
QD,6H,4D,6C,6S,6D,8C,JJ,TS,5D,Zach,7D,6
JS,5C,TC,AD,7S,4D,4H,AS,JH,7D,Zach,7D,7
JH,6D,6C,JS,4C,7C,JJ,6S,AC,KH,jrb,TH,4
9S,7H,8S,TC,8C,6S,QC,9C,6C,JC,Mike,Nd,7
QS,AS,TD,JS,9H,5C,6C,JD,QC,6H,John P,Nl,0
6S,7D,6D,AS,KH,5S,9H,KC,5D,QD,Mike,Nl,1
7S,TH,9C,7H,QD,6C,4S,TC,JJ,4D,Mike,7N,4
6S,6C,JD,TS,TD,QD,KS,9D,8S,5S,John P,8S,7
JC,9D,7H,JS,9S,TC,7S,9H,4S,TH,Mike,7C,9
JH,QC,6S,7D,6C,8D,AC,7C,9C,5D,jrb,Nd,0
AH,6H,AC,JH,8C,7H,KC,4C,KH,AD,John P,8H,8
4C,TC,5C,8S,AS,QD,JC,KD,7S,6C,Becky,8C,6
KS,5D,4C,AS,4S,JD,9H,9D,6H,7H,John P,Nl,1
6D,JH,8S,QH,6C,9H,KS,5H,QC,KH,jrb,9H,9
JJ,KS,AD,8C,5C,AS,6C,TD,9C,KC,Mike,9N,10
KS,5H,9C,KC,AH,8H,9D,7C,5C,QC,John P,Nl,0
4H,JH,8S,QH,9H,7C,6H,KD,KC,TH,Mike,Nd,0
TS,AS,9S,7D,QS,JS,KS,JJ,KD,4C,jrb,8S,9
5S,6D,8S,4D,TC,5D,7D,5H,KH,JJ,jrb,No,1
7H,KD,9S,5D,JJ,9H,QH,JS,6H,4S,Zach,8S,9
5H,JD,AC,JJ,5D,6S,QD,KC,8D,QC,jrb,8D,8
4S,5S,6C,KD,7S,TS,QS,JH,AH,8S,Mike,Nd,2
6S,8D,AH,5C,7C,KH,4C,JH,5D,7S,jrb,No,0
KC,6S,7S,4D,5D,8S,8H,9S,TH,4C,John P,Nl,0
4H,8C,8D,9D,AS,6H,4S,9C,5S,8H,Mike,Nl,0
TD,KD,8D,7C,6S,8C,4C,7H,AD,QD,Frances,7D,7
JC,6H,7H,4H,5C,8C,8S,9S,TC,TD,John P,Nl,0
4S,AS,JS,6D,8C,KS,7C,QS,TS,JJ,Frances,8S,9
JJ,8S,KS,6S,7C,9S,8H,5H,4D,6H,Mike,Nl,3
4S,7D,6S,6C,QD,4C,QS,9C,JS,KD,Becky,No,0
8H,AD,5S,6D,5D,5C,6S,AS,4S,9S,Mike,6N,10
JS,AC,QS,JJ,5H,TS,KD,KS,7H,5C,Mike,8S,10
KC,8D,JS,TS,8C,6C,8S,6D,TH,JJ,John P,7C,8
6D,9D,JH,5D,7D,8C,JS,5S,7C,JJ,jrb,7D,8
4S,9D,4D,KC,KD,7D,KH,7C,QH,4H,John P,Nd,1
AH,JJ,KS,KH,JD,4S,AC,QS,7D,5H,John P,8H,9
4S,6H,6S,5C,5S,QC,QD,AC,QH,8H,Mike,No,0
9H,6H,KC,9C,9S,8D,4S,6S,8C,4D,Mike,Nl,0
4D,8C,6C,6S,7S,JD,5C,JS,5H,KC,jrb,7S,8
5S,4D,6H,TD,6S,7H,KD,KH,AS,8H,jrb,8N,4
7D,AD,8C,9H,5S,JH,7H,JS,6H,8D,Mike,9D,9
QD,JJ,8C,5H,AD,QC,JD,6D,QS,6S,Mike,7D,10
6D,8S,AS,7C,4S,6H,TH,7D,JH,JJ,Mike,7H,9
8H,4D,9C,5S,TC,KS,5C,KH,7H,JH,jrb,7H,9
QD,9S,6D,JH,AD,JJ,8C,5S,AC,6H,Zach,7D,8
6D,KD,6C,6S,9D,QH,9S,4S,5D,TD,jrb,Nd,3
KC,6C,JH,7C,8C,KH,TD,KS,AH,4S,Mike,8N,5
7H,6D,6H,5D,AC,4H,QS,9S,4D,KC,jrb,Nd,0
6C,KS,7C,8D,7H,AS,4D,JS,5H,5D,Mike,No,1
7S,TC,4C,4H,6C,JC,8H,6H,5S,JD,jrb,Nd,2
4H,9S,6H,5D,TD,TS,9H,5H,AC,QD,Mike,Nd,0
AH,6S,6H,JH,KS,5H,TC,8D,QD,JS,jrb,7H,7
6D,JC,TC,TS,AS,AC,8C,JS,JJ,7C,jrb,8C,10
QD,KS,AD,8C,4C,AC,AS,7H,8D,6H,jrb,7N,5
JH,7D,7S,JC,5D,AC,KD,9C,KH,5S,jrb,7C,7
6H,JH,9D,TS,8H,JJ,TH,KS,AD,QH,jrb,8H,8
7D,4H,5D,QC,JJ,JD,8H,5C,JS,4S,Mike,7D,6
6S,JC,8D,AS,QD,AH,8C,5D,TC,QC,John P,8C,10
JD,AC,KH,4S,6D,8S,KS,7C,JH,QH,Frances,7H,7
AC,4C,5D,JD,AH,5C,8C,8H,AD,4D,jrb,Nl,1
5C,AD,QS,AC,8H,QC,AS,8C,KC,KD,Frances,8C,9
AD,9D,AH,9H,JD,8S,8D,4H,KC,TD,John P,8D,6
8S,JC,4C,JS,5S,7C,8H,6S,QH,AS,jrb,8S,9
4C,9S,7S,JJ,5S,5H,4D,AS,KD,6C,Zach,No,0
9D,6S,4C,7D,4D,9C,JJ,5C,QS,6D,John P,No,0
6C,KS,TS,QC,AD,TC,7H,JH,9H,9D,jrb,7H,6
QH,4C,8C,AS,7C,8S,JH,TS,KC,QD,Mike,8D,8
AD,TS,JJ,7D,QD,6S,JC,8H,8D,TH,Mike,7D,10
KS,6S,QD,TH,JJ,QS,QH,8H,JS,TS,Zach,8S,7
8H,KH,JH,QS,JD,9D,8D,KS,7S,TD,Zach,8D,10
AC,7H,8C,7C,TC,7D,QS,JS,9S,4S,Zach,Nd,4
QS,4C,KH,7C,6C,4S,QD,8C,KD,TD,Mike,No,0
JC,JS,QH,KC,9D,5S,4H,KD,4D,AC,Mike,7C,6
KC,AH,5H,AS,KD,9S,5C,TC,8C,4H,jrb,6N,6
7C,8C,QS,TC,JJ,KC,KH,6H,7H,5S,Zach,7C,8
KD,4C,5H,6H,4H,QS,9H,AS,KC,4D,Mike,No,1
4C,9C,TC,6D,5H,KH,4H,5D,5S,KD,John P,Nl,1
6C,4H,6S,TS,9S,KC,8C,6H,5H,QD,Zach,No,2
QC,TD,KC,6D,AC,AH,4H,9D,JH,4D,Zach,Nd,0
KH,4C,AD,4D,5D,6C,5C,TH,QD,5S,Mike,No,0
5S,JS,AH,7H,QS,9D,6C,8C,KS,AD,John P,9S,6
QS,AC,6C,4D,8D,QC,JD,AD,6D,QD,Zach,8D,9
KH,TC,AC,5C,AH,JJ,6D,8C,7S,6H,Zach,7N,9
4H,7S,TS,AD,AH,4C,7H,JC,JS,7D,jrb,8S,6
JH,JJ,5D,QC,6D,JS,JD,TC,9C,6C,jrb,7D,10
9D,KS,QS,KD,5S,JJ,4D,4H,AH,QC,jrb,8N,5
AD,AH,TS,JC,7C,5H,5S,KH,8S,7D,Zach,7S,9
KC,KS,TH,6D,5D,9D,QS,5H,6S,4H,John P,No,2
7H,5H,7S,7C,8D,4S,4C,5S,TH,QS,Mike,Nl,0
7H,QS,JH,TD,4C,TH,KH,JD,6C,AH,Mike,8H,9
QC,5D,KS,7D,KD,8H,KH,4S,5S,AH,Mike,7N,5
6D,KS,JS,AC,QD,5H,8C,KH,JD,6H,jrb,7H,7
JC,8S,6C,7D,4C,5D,5S,8H,4H,TH,John P,Nd,3
4C,8C,AD,KD,4S,8H,4D,KC,KH,QS,Mike,7N,8
JH,5H,JD,TC,AD,4S,JS,7C,6C,9S,John P,7D,5
9D,6S,5C,8C,5S,6H,4H,6D,KC,9S,Mike,No,0
AH,JC,5D,7C,QS,JS,JJ,4D,QD,7D,Zach,7C,9
JD,AC,7D,KD,JJ,8D,4C,TC,6S,QH,jrb,7D,7
JH,KD,6C,8D,AD,JD,TS,4H,7S,5S,John P,7D,9
AD,9H,4S,8D,JS,5D,JH,6D,6C,QD,Becky,7D,7
KD,8C,4C,5C,4D,6C,6S,4H,JC,JJ,jrb,No,0
6H,7S,6S,KS,JD,7H,4H,TH,8S,4D,Mike,No,1
8D,AC,QS,9D,5D,AS,5H,9S,TC,QH,Mike,7N,10
QS,JD,8D,QD,KD,5C,5H,9D,9H,JJ,John P,7D,8
JH,TC,9H,4C,QH,KC,JJ,JD,KH,7C,John P,8H,9
KS,7D,8C,7H,KH,6D,AH,9H,4S,AC,Mike,8S,8
JD,9H,9D,QC,6C,8S,4D,AC,JC,9C,John P,8H,6
9S,4D,QC,6D,8C,KS,KD,AS,AC,QS,Mike,7N,7
9D,9C,KC,6D,JD,4D,AS,TD,TH,JH,Mike,8D,8
QC,JD,4D,QS,4S,6S,QH,6H,TS,6C,Mike,Nd,4
JD,KD,5C,7H,JH,JJ,AS,TC,AD,TS,John P,8D,8
8D,KD,JJ,9H,QC,6S,4C,KS,8S,7D,Becky,7D,10
KD,QD,JS,QS,4C,7C,6D,AC,JJ,8S,jrb,8S,8
8C,JS,4S,KC,5S,JJ,9S,QS,QH,JC,jrb,9S,10
9H,JS,5D,5H,5S,6S,9C,8H,TH,4D,John P,No,0
AS,9C,8C,TS,JH,KC,QS,6C,4C,7C,John P,8C,9
8C,8H,5D,AD,7D,TH,4D,QS,AS,9C,Mike,8S,8
7D,KD,4C,KC,JH,JJ,6C,6D,8D,AH,Mike,7D,9
QS,AC,7C,TC,JJ,6D,KC,TH,8S,KH,Mike,7N,10
7H,5D,KS,8D,5C,QH,JJ,8S,4H,AS,Mike,7N,8
JJ,6C,7H,8D,8C,8H,6H,4D,9H,4C,John P,No,0
5C,4S,4H,TS,6S,7C,8D,5D,9C,KC,John P,No,1
JS,QS,JD,AH,6H,KD,KC,9D,4S,AS,Chris,7D,9
JS,8H,JJ,KD,9H,4C,JC,7H,KC,QD,John P,8C,7
TH,KS,AC,7D,QD,9D,JJ,4H,AD,8H,Mike,8N,6
KS,5C,8S,KD,6C,8C,4D,JS,6S,JD,Mike,No,0
AC,JS,JH,5D,7D,JD,JC,6H,TS,8D,Chris,7D,8
KC,7C,AS,5H,JH,5C,9C,9H,7S,JD,Mike,7H,7
KH,6C,JD,TS,7H,9C,4H,9D,TD,JJ,Zach,7H,7
JJ,AS,6S,9D,KC,QS,9H,QC,5C,8H,Zach,7N,8
5D,KS,6D,JH,KD,8H,4D,7H,4H,5C,Mike,No,0
7D,TH,TS,AS,6H,4H,QH,AH,KC,5H,jrb,Nd,3
AC,TS,JD,7H,JJ,JS,6H,7C,QC,7S,Zach,7C,7
AH,6D,4C,5C,KD,8D,QD,TD,7C,9S,John P,Nd,2
8C,QH,6S,KS,JC,QD,8S,7H,AC,JS,John P,8S,9
4S,5H,JH,4D,6C,AH,7C,JJ,9D,9S,Zach,7H,6
AC,7S,8S,AS,4S,TD,7H,6C,5D,QD,Mike,Nd,0
5H,9H,4C,8S,JC,KS,6S,9D,KC,6D,Zach,Nd,5
6H,QS,KS,TD,9H,8S,AC,KC,5C,AS,jrb,7N,7
4H,JS,TC,5D,8H,KS,JJ,4C,JH,5H,Zach,7H,6
KD,8D,AS,JJ,4D,8C,7D,AD,5C,KC,John P,7N,9
5C,6H,6C,AH,QH,AC,JJ,JC,8H,KS,jrb,7C,8
QD,KS,7H,JJ,4H,AS,8H,QH,8C,6D,Zach,7H,9
QH,6D,AC,9S,6C,7H,7S,JD,9D,JC,jrb,9C,9
QH,9H,9D,5D,AH,4H,JJ,JH,8H,QD,jrb,8H,9
8D,9D,JH,8C,7H,4C,4S,5D,TS,6H,John P,No,0
5S,4S,4C,JJ,5H,6C,TC,JS,TS,8D,Dani,Nd,0
4S,4C,6H,5D,6D,9C,8C,QH,JC,8H,Mike,No,0
6S,KC,4S,TC,TD,6D,5C,4H,JD,5S,Mike,No,1
4S,KS,4H,AD,KH,6S,5S,8C,JC,4C,John P,Nd,0
JJ,TS,AC,AS,QC,KC,9C,9S,9D,8C,John P,8N,8
6C,JJ,7S,5D,9S,TS,QS,7H,JD,KC,Mike,8H,7
7D,9H,QS,QD,QH,KD,AD,TD,6H,5D,jrb,7N,8
4S,5S,JJ,KD,JH,AC,QH,9H,8S,TS,John P,7H,9
JS,5H,9S,4C,6S,TS,QS,QC,QH,9C,Becky,8S,6
JD,JC,JJ,6H,5H,TD,AS,7D,AH,7H,jrb,8D,8
7H,JS,TD,TC,JD,QS,8C,JH,AH,4S,Mike,7H,7
5C,4D,4C,5S,AC,4H,TC,9D,8D,QD,jrb,Nl,0
AH,5H,AS,4H,5D,KD,6H,KC,5C,9H,jrb,7N,7
5D,8H,9S,JD,KS,AH,7D,QD,JC,AS,John P,8D,7
KS,JH,AH,AC,4S,5D,JC,TH,JS,QH,John P,8S,10
TD,6D,QD,JS,8S,JC,JD,6S,KC,TC,Becky,9C,5
QS,8C,JH,6D,4D,JJ,9C,TH,KC,5C,Zach,7N,6
QD,9H,KH,AS,JS,8H,8S,6H,KS,9S,jrb,8S,7
4H,5S,JC,7C,JD,9D,5C,9S,8S,4D,John P,No,1
QC,8S,9C,8H,QS,JD,9D,AS,5C,5S,Zach,7C,5
4D,4C,KC,6D,JD,QC,8S,5S,JJ,JS,Zach,7D,7
8D,7D,4S,6D,QS,9S,QC,7C,JH,JJ,Becky,7D,9
QD,4S,JH,6D,TS,QH,JD,AC,4C,4D,jrb,8D,8
QC,TC,JD,7H,AC,KC,4S,JS,4C,9S,Becky,8C,9
KD,5C,9D,4C,KC,6C,7H,AH,AC,5D,jrb,9D,10
TS,TH,6C,4H,4S,4C,AD,6S,9D,KD,Zach,Nd,1
QS,9S,7D,8C,5C,QH,4H,AS,JD,9H,John P,8H,7
TD,4S,TS,6C,6S,JJ,7D,5D,AC,8C,Mike,Nl,0
6S,KH,AH,4S,8H,TS,KC,7S,5H,7D,Jrb,Nl,0
6D,TC,6C,9S,QC,KD,9C,9H,5D,KS,Mike,9N,10
AS,4C,7D,QD,TC,6H,JH,6D,5S,JS,John P,Nd,3
4C,QD,8C,7H,JJ,TH,TC,JC,7S,AD,John P,7C,6
